epoch,lr,epoch_time_sec,train_loss,val_loss,dice_tc,dice_wt,dice_et,mean_dice,hd95_tc,hd95_wt,hd95_et,mean_hd95,sens_tc,sens_wt,sens_et,mean_sens,spec_tc,spec_wt,spec_et,mean_spec,iou_tc,iou_wt,iou_et,mean_iou,miou_tc,miou_wt,miou_et,mean_miou,f1_tc,f1_wt,f1_et,mean_f1,auc_tc,auc_wt,auc_et,mean_auc,is_best
1,3.4000000000000007e-05,2983.3401222229004,1.07341457350236,0.7722753819965181,0.05328097939491272,0.37933114171028137,0.047437671571969986,0.1600165975590547,88.89569819169468,72.6814702144357,104.88431637030004,88.82049492547681,0.8621426860298721,0.784433331160173,0.8338893896649905,0.8268218022850119,0.6368905192324014,0.9354909691209083,0.7709324233115457,0.7811046372216185,0.02789598885196038,0.2499530649461149,0.02361062258730505,0.10048655879512679,0.33174763448870465,0.5892370880400226,0.3969516134140392,0.4393121119809222,0.0532809805174162,0.3793311610344579,0.045178738991114166,0.15926362684766276,0.0,0.0,0.0,0.0,True
2,6.700000000000002e-05,2548.4841046333313,1.4149510356964488,2.340913947423299,0.02495555207133293,0.7874053120613098,0.5831764340400696,0.4651790993909041,115.21143585027536,29.66937986912476,35.601904153105046,60.1609066241684,0.9938125141499304,0.8080929502080875,0.4968527533759492,0.7662527392446558,0.022345331355637137,0.9961069942719425,0.9993255318848044,0.6725926191707946,0.012764226514955101,0.6703641402573277,0.42348404736079437,0.3688708047110257,0.01755368888602342,0.8299335008590938,0.7099115514301415,0.5191329137250863,0.024955550885136547,0.7874052846380483,0.5554061462740172,0.45592232726573395,0.0,0.0,0.0,0.0,True
3,0.0001,2653.2293763160706,0.9372997431818283,1.4988573505764915,0.4542802572250366,0.8142358660697937,0.6924575567245483,0.6536578933397929,40.43673815463401,16.0401920310203,31.60968834402478,29.362206176559695,0.9564675580691716,0.8902030927647939,0.7386955381157477,0.8617887296499044,0.9794444417424631,0.9948296934607095,0.9982452100457956,0.990839781749656,0.3245020275169143,0.7110055905048128,0.5458352313472706,0.5271142831229992,0.6514839622394063,0.850707030980603,0.7713923805511586,0.7578611245903892,0.4542802782614984,0.8142358555211143,0.6594833878844455,0.6426665072223527,0.0,0.0,0.0,0.0,True
4,9.966529870822618e-05,2647.647620677948,0.6276179095447967,0.9517497522490365,0.6422982215881348,0.8346717953681946,0.6883484721183777,0.721772829691569,20.51522064018929,15.54762871710658,32.30140648020844,22.788085279168104,0.8944129823404467,0.8802307640913937,0.7913447125395845,0.8553294863238082,0.9940781612419676,0.9960373136712007,0.9976024132997581,0.9959059627376421,0.5160270842156565,0.7389331165624398,0.5426012917712388,0.5991871641831117,0.7537078502447704,0.865236078694102,0.7696352343011407,0.7961930544133377,0.6422981572697911,0.8346718071793506,0.6555700116701834,0.7108466587064418,0.0,0.0,0.0,0.0,True
5,9.866572109370128e-05,2645.8770139217377,0.46717849520571303,0.7050934510571616,0.7105550169944763,0.8445030450820923,0.7032983303070068,0.7527854641278585,19.153329357329905,17.530048139949155,33.68121805234918,23.454865183209417,0.8988008054983541,0.8823113019974169,0.7909546560120557,0.8573555878359422,0.9958238459651142,0.9963482233811553,0.9976783381217107,0.9966168024893266,0.5915366877109374,0.7524615258050467,0.5596414344317521,0.634546549315912,0.7925092390379851,0.8723790652448614,0.7782428582578985,0.8143770541802483,0.7105549723153358,0.8445031124715815,0.6698078592204724,0.7416219813357966,0.0,0.0,0.0,0.0,True
6,9.701478472890247e-05,2638.6210882663727,0.38072407801607344,0.5362265872103827,0.7620547413825989,0.8636717200279236,0.7313944101333618,0.7857069571812948,15.82446600304246,13.507953720572749,30.401325864037734,19.911248529217648,0.8946884046528987,0.8740071621407828,0.7751618630100451,0.8479524766012422,0.9969225365094309,0.9972921533258565,0.9981536736770219,0.9974561211707696,0.653557263546247,0.7760328091370381,0.5919942742364257,0.6738614489732369,0.824157442218131,0.8845671088098666,0.7946335042015424,0.8344526850765134,0.7620547883916335,0.8636717628165629,0.6965660989609799,0.7740975500563921,0.0,0.0,0.0,0.0,True
7,9.473481569600891e-05,2652.983135700226,0.3406039629357331,0.400766383821056,0.8060948848724365,0.8786050081253052,0.7545939683914185,0.8130979537963867,10.115341419111719,11.683633237208051,32.923762788273876,18.240912481531215,0.8793851156617521,0.8699073562711116,0.7612538274287596,0.8368487664538744,0.9978481847792077,0.9978366191988914,0.9985951926100565,0.9980933321960519,0.7079205105985007,0.795052915734805,0.619075658010183,0.7073496947811629,0.851772622144491,0.8943565722137444,0.8083464181225625,0.8514918708269326,0.8060949130001825,0.878605074447032,0.7186608943975595,0.8011202939482579,0.0,0.0,0.0,0.0,True
8,9.185664666494037e-05,2656.723940849304,0.3359569588139879,0.30246899525324505,0.8299039602279663,0.8894113302230835,0.7671478390693665,0.828821043173472,6.708788063773361,10.256457295826891,20.163411146810457,12.376218835470235,0.8630108809135858,0.8659374606029452,0.7487384119690385,0.8258955844951897,0.9984655091492369,0.99830455358939,0.9988660541350055,0.9985453722912108,0.7381161992773453,0.8094703666247647,0.6342408945461245,0.7272758201494115,0.8671361436017924,0.9017992362770664,0.8160213039154712,0.8616522279314432,0.8299039763510774,0.8894113177248488,0.7306170355121249,0.8166441098626837,0.0,0.0,0.0,0.0,True
9,8.841919993438942e-05,2644.483698606491,0.31971845686943695,0.2594247562189897,0.840724527835846,0.893386960029602,0.7731115818023682,0.8357410232226054,6.42396017228617,7.70792058888501,19.3821179178794,11.17133289301686,0.852580741247051,0.8655010904940258,0.7399863846059671,0.8193560721156813,0.9987002036734297,0.998440490426493,0.9990241565931597,0.9987216168976941,0.7519657242454011,0.8154395668473721,0.6407113888602326,0.7360388933176686,0.8741619033912068,0.9048909911176709,0.8193077079070213,0.8661202008052996,0.8407245385425726,0.8933869859704807,0.7362967499857777,0.8234694248329436,0.0,0.0,0.0,0.0,True
10,8.446896107450232e-05,2886.4443583488464,0.2939815489208382,0.24256317995133855,0.845586895942688,0.8961409330368042,0.7761544585227966,0.8392940958340963,6.296984034761736,6.157011580319046,22.99484674308388,11.816280786054888,0.8436906959160518,0.8662351889978069,0.7329026839017516,0.8142761896052035,0.9988507365374475,0.9985030387208407,0.9991268286082122,0.9988268679555001,0.7575212471700136,0.8194265650219046,0.643111351341637,0.7400197211778518,0.8769856621548198,0.9069513876436391,0.8205385740025191,0.8681585412669927,0.8455868409598254,0.8961408483831597,0.739194747888305,0.8269741457437633,0.9852942512267678,0.9905661930007665,0.9226492033821937,0.9661698825365761,True
11,8.005935028928792e-05,2632.630793094635,0.289806076918136,0.23449793106743266,0.8495019674301147,0.8979672193527222,0.7793728709220886,0.8422806859016418,6.253813191800197,6.075744823239351,22.92445735792931,11.751338457656287,0.8387643640274141,0.8678110223177061,0.73094587429618,0.8125070868804333,0.9989552499928027,0.9985367465482029,0.9991814454975431,0.9988911473461828,0.7618857563927401,0.8221130761051839,0.6456675705067814,0.7432221343349017,0.8792209654365121,0.9083523091277313,0.8218421595471156,0.8698051447037863,0.8495018991232381,0.8979672259690574,0.7422598995413663,0.8299096748778872,0.0,0.0,0.0,0.0,True
12,7.525e-05,2636.3608729839325,0.3125030506882026,0.2310630614204066,0.8532489538192749,0.9001474380493164,0.7811543345451355,0.8448502421379089,6.20837574576017,5.900982592194466,22.876791733858802,11.662050023937814,0.840690654480746,0.8696136365762902,0.7271905927899214,0.8124982946156525,0.9990103686573991,0.9985535845667906,0.999238157995902,0.9989340370733638,0.7663662194262715,0.8251810318782478,0.6468142639518192,0.7461205050854461,0.8814990209904675,0.9099266153863621,0.8224344075436127,0.8712866813068141,0.8532489203683625,0.9001475048359716,0.7439565542776284,0.8324509931606542,0.0,0.0,0.0,0.0,True
13,7.010594841893825e-05,2662.0286889076233,0.27589553714532294,0.2279640753354345,0.8550312519073486,0.9020939469337463,0.7845696806907654,0.8472316265106201,6.1517336682003165,5.783615429213257,22.901473399610317,11.612274165674629,0.8420464251279259,0.8721720079964745,0.7305411756014191,0.8149198695752732,0.9990368316139218,0.9985582481172691,0.9992678498421,0.9989543098577637,0.768699830321045,0.8280097599155021,0.6507114670279069,0.7491403524214847,0.8827091476671942,0.9113853872818272,0.824405108213658,0.8728332143875598,0.8550312389018943,0.9020939444632677,0.7472092705337011,0.834778151299621,0.0,0.0,0.0,0.0,True
14,6.469676001919896e-05,2655.6605739593506,0.26482362665631104,0.2258663370140961,0.856735110282898,0.9035917520523071,0.7879924178123474,0.8494397600491842,6.260158691536233,5.679574133186924,22.769503883659503,11.569745569460887,0.8430961696286203,0.8734244263883603,0.7324275547450937,0.8163160502540249,0.9990721142304702,0.9985726863723027,0.9993046358441804,0.9989831454823177,0.7704671240124217,0.8301699260587873,0.6537326890711374,0.7514565797141154,0.8836237648466692,0.9125024097755088,0.8259346931449159,0.874020289255698,0.8567350187572078,0.9035916940268683,0.7504689237653457,0.8369318788498074,0.0,0.0,0.0,0.0,True
15,5.9095584794513056e-05,2681.284252166748,0.2760398625255083,0.2240519374963783,0.859234631061554,0.9050691723823547,0.7909567356109619,0.8517535130182902,6.2504740639512,5.646971408351052,15.539542331357787,9.145662601220012,0.8457186119045409,0.8753444723026648,0.7338791378148808,0.8183140740073621,0.999104144300671,0.9985868033754801,0.9993262493742963,0.9990057323501492,0.7732174879756788,0.8323221565744238,0.6563936889759044,0.7539777778420023,0.8850293987540743,0.9136117015734909,0.8272802113458337,0.875307103891133,0.8592346596188516,0.9050692090856913,0.7532921439437188,0.8391986708827539,0.0,0.0,0.0,0.0,True
16,5.337816903106855e-05,2675.889970779419,0.25966746535744856,0.21787583437703906,0.8643280267715454,0.9066559672355652,0.7932760119438171,0.854753335316976,6.055361800546027,5.397838583982303,22.51767331380366,11.323624566110661,0.8438105607167116,0.8767153514084073,0.7342425544900646,0.8182561555383945,0.9991711504573535,0.9985944452782083,0.9993590771731033,0.9990415576362217,0.7786198958106717,0.8347034071126966,0.6587272036011184,0.7573501688414956,0.8877562683608067,0.9148281479902306,0.8284610208060251,0.8770151457190208,0.8643278879347934,0.90665593612057,0.755500867639401,0.8421615638982548,0.0,0.0,0.0,0.0,True
17,4.7621830968931445e-05,2612.9006695747375,0.2508133200886236,0.20613732579208555,0.8698498010635376,0.9083667397499084,0.7968921065330505,0.8583695491154989,5.667072648025857,5.24650865593138,22.423972690839097,11.112517998265444,0.8489802851430456,0.8788308524255031,0.7368413490454436,0.8215508288713308,0.9992000454946882,0.9986262301553933,0.9993924067702552,0.9990728941401122,0.7853524792721793,0.8372824653145062,0.6623371677784404,0.7616573707883753,0.8911703128960516,0.9161494375037904,0.8302872603881962,0.879202336929346,0.869849782382876,0.9083667564531906,0.7589449133795007,0.8457204840718558,0.0,0.0,0.0,0.0,True
18,4.190441520548695e-05,2664.9539144039154,0.2539252831713494,0.20358571992034002,0.8718180060386658,0.9085230231285095,0.7997674345970154,0.8600361545880636,5.604479796393426,5.2030636483404695,22.372483141856943,11.060008862196947,0.8509653203631632,0.8784019733443125,0.7389561995251763,0.8227744977442173,0.9992155598503091,0.9986392348696013,0.9994024435349129,0.999085746084941,0.7878824789810279,0.8376504847112453,0.6653967204957179,0.7636432280626636,0.8924566945801089,0.916330431611046,0.831826182821556,0.8802044363375702,0.8718179842726841,0.908522997524464,0.7616833378289363,0.8473414398753615,0.0,0.0,0.0,0.0,True
19,3.630323998080103e-05,2655.571036338806,0.2453672172586349,0.19548156843298958,0.8762311935424805,0.9096716046333313,0.8017229437828064,0.862541913986206,5.603363431902162,5.128733814431953,22.445889228293332,11.059328824875815,0.8540318244044235,0.880451940336292,0.7398763684853462,0.8247867110753538,0.99921908087045,0.998651586253038,0.99942194146013,0.9990975361945393,0.7932064044087151,0.8393924060996583,0.6671100370464811,0.7665696158516182,0.8951457665619669,0.9172352655389969,0.8326917553439729,0.8816909291483123,0.8762311347516261,0.9096715967034797,0.7635456360063749,0.8498161224871602,0.0,0.0,0.0,0.0,True
20,3.0894051581061734e-05,2902.671719312668,0.23461367043130327,0.1905312030797913,0.8781588077545166,0.9103708863258362,0.8052563667297363,0.864595353603363,5.5928768177296835,5.108614024159222,22.39580095261964,11.032430598169517,0.8576179636330068,0.8820545120057042,0.7434754240901416,0.8277159665762842,0.9992282478765815,0.9986353113995702,0.9994358318388396,0.9990997970383303,0.7957890130024408,0.8405221353810255,0.6703703002177885,0.7688938162004183,0.8964550044221975,0.9178161556013715,0.8343328018493891,0.8828679872909859,0.8781587816099236,0.9103709161354829,0.7669107674785879,0.8518134884079981,0.9792253912088433,0.9785086973836865,0.9031812396094766,0.9536384427340021,True
21,2.575000000000001e-05,2678.5198500156403,0.23584003364808406,0.18797188766655468,0.8799915313720703,0.9100372791290283,0.8075991868972778,0.8658759991327921,5.5446200388882545,5.110343362228561,22.347949163292945,11.000970854803255,0.8573437913085891,0.8818203703383077,0.7453067680401778,0.8281569765623583,0.9992490773246319,0.9986105360912837,0.9994507461178905,0.9991034531779354,0.7982546012831415,0.8402548460569238,0.6728501468612461,0.7704531980671039,0.8977058384879323,0.9176832134035291,0.8355812771852154,0.8836567763588922,0.8799913974718279,0.9100373459100678,0.7691420781146863,0.8530569404988606,0.0,0.0,0.0,0.0,True
22,2.0940649710712093e-05,2695.9067409038544,0.23182697884851333,0.18070627316122964,0.8808554410934448,0.9108999371528625,0.8101351857185364,0.8672968546549479,5.328049761240131,5.040453544534707,22.150254090986618,10.839585798920487,0.8576812718687312,0.8829088839212493,0.7473954842041166,0.829328546664699,0.9992435859061096,0.9986215314045273,0.9994631838110516,0.9991094337072295,0.7996454649334096,0.8414475294173457,0.6753577951689874,0.7721502631732475,0.8984217357391064,0.9183245075267775,0.8368481950546376,0.8845314794401739,0.8808553215051875,0.9108998446874531,0.7715572479275674,0.8544374713734028,0.0,0.0,0.0,0.0,True
23,1.653103892549769e-05,2663.958273410797,0.2309095460328866,0.17755548879504204,0.8811941146850586,0.9114624857902527,0.8100807070732117,0.8675791025161743,5.254441511914195,5.027770512348078,22.13718064845495,10.806464224239074,0.8575117407018851,0.8833920141316315,0.7458630077968825,0.828922254210133,0.9992392693624473,0.9986375972634249,0.9994779868949285,0.9991182845069336,0.8004537222019074,0.842266351156277,0.6754412907687407,0.772720454708975,0.8988368527158265,0.9187585088262257,0.8368949127762533,0.8848300914394351,0.8811941251425628,0.9114624897748921,0.7715054329017496,0.8547206826064014,0.0,0.0,0.0,0.0,True
24,1.2580800065610576e-05,2683.6561238765717,0.22895357499576427,0.17668850177100726,0.8796709179878235,0.9120618104934692,0.80889493227005,0.8668758869171143,5.223945584620865,4.9974402675538006,22.11185782424825,10.777747892140972,0.8553751048885668,0.8842999535825107,0.7433697741219921,0.8276816108643565,0.9992373960437138,0.9986277252265633,0.9994899119950776,0.9991183444217849,0.7994863613284728,0.8431167082139052,0.6747148703046396,0.7724393132823392,0.8983612502940542,0.9191967996947462,0.8365363897432938,0.8846981465773648,0.8796709402613492,0.9120617750256024,0.770376177668291,0.8540362976517475,0.0,0.0,0.0,0.0,False
